study,Age,QL00_A,QL00_M,QL00_L,QL00_U,QL15_A,QL15_M,QL15_L,QL15_U,QL35_A,QL35_M,QL35_L,QL35_U
Drolet et al. 2010,78,0.05361903614974428,0.05350572343060177,0.04784977357487416,0.06021195411346093,0.05336360347049407,0.0532606559599521,0.04764649281819592,0.059884609927662584,0.05302731680898039,0.052922830782836744,0.04737850423815256,0.05945841603412117
Drolet et al. 2010,79,0.05363969648148042,0.05349792029814743,0.04771938021968655,0.06048344150942375,0.05338271358337095,0.053245988157058666,0.04751115182272655,0.06016826332818664,0.053044411293937346,0.05291374137131509,0.047233160739609904,0.059751940664723495
Drolet et al. 2010,80,0.05369170825526034,0.05356630415001819,0.04756484554213012,0.0606926547295419,0.05343299087381013,0.05330721300019707,0.047365274336111284,0.06038562081384568,0.05309243104139244,0.052961656273866564,0.04709805123667032,0.05998165586545639
Drolet et al. 2010,81,0.0537519984532985,0.053638983805363236,0.04738687512708566,0.0608166064620942,0.053491484385215136,0.053379688774616574,0.047177559624331615,0.06050698108776062,0.05314858580139609,0.05304699073128717,0.04691441045006617,0.0600996401824706
Drolet et al. 2010,82,0.05379138590440004,0.053702002305903544,0.04721021483364617,0.06108832141891353,0.05352917118334312,0.05343396265160334,0.04700533436755677,0.06075398125101794,0.05318406090436911,0.05308735663476543,0.04673531928679253,0.060314518787268734
Drolet et al. 2010,83,0.0538124610605709,0.053714186504890016,0.04712413402282168,0.06134791410897155,0.05354862930267636,0.05345157343736031,0.04691898753798854,0.06100878298817301,0.0532014180249966,0.053105915665259705,0.04664863273954071,0.0605630845567502
Drolet et al. 2010,84,0.05381787251778882,0.05371495054722087,0.04698614681949756,0.061590352071776586,0.05355249430437999,0.05345392152631147,0.04678504114011735,0.06124655517894563,0.05320327555701562,0.053106504730496495,0.046519948310105676,0.060794681625922255
Drolet et al. 2010,85,0.05381032802779006,0.053647015795963864,0.04680547468526379,0.06181793864514748,0.053543460265666885,0.053386898857335545,0.046605384942712894,0.06146976723909458,0.05319230957354793,0.053046404010864356,0.04634162947150577,0.061012148257357
Drolet et al. 2010,86,0.053792595525560795,0.05360875949750761,0.04659415828284384,0.06203433703395076,0.05352428078415732,0.053344068480388765,0.04639866106931684,0.06168147647308819,0.05317125480152278,0.05298833457536341,0.046135327495819986,0.06121792233047962
Drolet et al. 2010,87,0.05376750417274734,0.053571792164600854,0.04634985857856279,0.06228754197817542,0.053497769997427745,0.05331122324602075,0.046158619113819466,0.0619246055988317,0.05314290561035893,0.05295345755819557,0.04588410752311775,0.06144804889878592
Drolet et al. 2010,88,0.05373794541720568,0.05358260878059462,0.04608482244962553,0.06255393235688313,0.05346680361794811,0.053308581286133305,0.0458876472667114,0.062204568750109,0.05311011701507975,0.05294431272100061,0.04562779943070986,0.061744889399188575
Drolet et al. 2010,89,0.053706874068904904,0.05352606529293712,0.04582540474415415,0.06275771810548737,0.05343431998360156,0.053264978664934855,0.04562939117511955,0.06237968229416789,0.05307580569402894,0.05291799453384609,0.04537107616477934,0.061892422175464895
Drolet et al. 2010,90,0.05367730939240459,0.0534624103401341,0.045569270798587365,0.06297934426103878,0.05340332112398508,0.0531978282831561,0.045374519119315185,0.06261625200435189,0.05304295102135886,0.05285173705279472,0.04511786678471815,0.062139337377943235
Drolet et al. 2010,91,0.05364953485429005,0.05346596264465536,0.0453159339870654,0.06330056786434665,0.053374088598607074,0.05318460328208373,0.04512243040991962,0.06291087497483396,0.05301183206523375,0.05282067927824424,0.04486742258450686,0.062399651223962536
Drolet et al. 2010,92,0.05362102780050048,0.053422531721753666,0.04506477037572874,0.06352520071362293,0.053344114045947785,0.05314926545978739,0.04487196909677613,0.06313980494395689,0.0529799592745345,0.05279156188645266,0.04461789366026021,0.06263383401844097
Drolet et al. 2010,93,0.053590628730868874,0.05337452867387858,0.04483144968074924,0.06367111728710156,0.053312244669761547,0.05309526321190211,0.044622133965786306,0.0632817709209285,0.05294618867972225,0.05274030343589019,0.04436965375171691,0.06276999311577013
Drolet et al. 2010,94,0.0535571530189111,0.05330288693878313,0.04469260252997179,0.06381098743770747,0.053277302859766035,0.053035349418433686,0.044480670077227454,0.06341766335117428,0.05290935190472531,0.05269148446066162,0.04420167115655207,0.06290144271384045
Drolet et al. 2010,95,0.05351939047940286,0.053244324749140606,0.044472368690157624,0.06395494669457623,0.05323808577030585,0.05298175419675839,0.04428635959917362,0.06356564763201229,0.05286825575989362,0.05262140157083112,0.04404116115975022,0.06305483447630736
Drolet et al. 2010,96,0.053476104929324336,0.053188580512420494,0.04427774126645503,0.0641398644817189,0.05319336489272746,0.05291085575883832,0.04407525873932048,0.06370794044336182,0.05282168182909988,0.05254840427933993,0.043808566979134725,0.06315047086063842
Drolet et al. 2010,97,0.053426033742092545,0.0530994981624536,0.04403523075185935,0.06441866138513663,0.05314188562139444,0.05282109555763812,0.043867132323791004,0.06397973832182346,0.052768386050927145,0.05245494481991832,0.04361766768751213,0.0634045509145017
Drolet et al. 2010,98,0.05336788739500434,0.053015940511249166,0.043777477776762906,0.0646704820936103,0.0530823668132749,0.052746055598830846,0.04361060151097601,0.06423217206847406,0.05270709829388594,0.05238221570674149,0.043390393943542493,0.06365761154027864
Drolet et al. 2010,99,0.05330034900981329,0.05290922623345497,0.043559888628701846,0.06480206059038472,0.05301350034103332,0.05263874240965419,0.04336119288259213,0.0643745446347616,0.05263652192560407,0.052282893053235566,0.04313120223217426,0.0637943393940226
Rampakakis et al. 2017 Argentina,50,0.0566463596669066,0.05654001898858858,0.05146835629146163,0.06248816875893882,0.05641223888359887,0.056304032805423884,0.0512694735491611,0.062217634988064825,0.0561034691642083,0.05599554368626096,0.051010250141474145,0.06186099031398552
Rampakakis et al. 2017 Argentina,51,0.05636473737195946,0.056284634534787846,0.051368741694448695,0.06193612596094525,0.05613074121385956,0.05605662813415782,0.051168602510602824,0.06166778246950249,0.055822152006885305,0.05574655802295474,0.050901473871937164,0.061314017678447144
Rampakakis et al. 2017 Argentina,52,0.05610654586017077,0.05599176645949943,0.051291893130354343,0.06156007211303204,0.05587256799178072,0.05576928136496076,0.05108808515088136,0.061279223852239904,0.05556401927272362,0.05546706336061755,0.05082108868195429,0.060909225983795216
Rampakakis et al. 2017 Argentina,53,0.055854141913692895,0.055789672863382045,0.05123579098745284,0.06115102894188773,0.055620156505282056,0.05556103948230772,0.051039134176926695,0.06087695758232074,0.05531161442038334,0.055257389952311844,0.05077980789110761,0.06051577758500059
Rampakakis et al. 2017 Argentina,54,0.0555895180952676,0.05552851559653918,0.051184260405412754,0.060804737253683704,0.05535558319914188,0.05529324003361059,0.050969149594640724,0.060533265649494114,0.055047124493921726,0.054988824253252425,0.05068546811736121,0.06017544639941108
Rampakakis et al. 2017 Argentina,55,0.055294296673988434,0.05518929135223434,0.05101598423811557,0.06040460541743979,0.055060557713699505,0.0549581026370977,0.05081375015226835,0.06013585710694225,0.054752374308429844,0.05465588145292452,0.05053429150035257,0.05977814202040504
Rampakakis et al. 2017 Argentina,56,0.05494972345899855,0.054866722001424006,0.050835493057085075,0.05986571075964307,0.05471641683489037,0.0546453536932915,0.05061876666933489,0.05960266900209133,0.05440882055136787,0.054353052625504036,0.050347263703024316,0.05925596763482471
Rampakakis et al. 2017 Argentina,57,0.05453666153979539,0.05446081631022355,0.050491862185346445,0.059341239104225056,0.054304118354383,0.05422639937449773,0.05029386146655668,0.05908377705704521,0.05399754579849122,0.053907409778138196,0.05003623822733377,0.05874434009033778
Rampakakis et al. 2017 Argentina,58,0.0540355849317939,0.05392125679711688,0.050030077371851035,0.05865048440566338,0.05380423483856977,0.05368787889227418,0.04982282635910292,0.05838872939857049,0.053499252443246034,0.05338669993431344,0.04954956709067234,0.05804378814648409
Rampakakis et al. 2017 Argentina,59,0.053426572125783084,0.053321749387695294,0.049297697481619246,0.057966159334246405,0.05319694730514908,0.05309263601594601,0.049102229773947625,0.057695285095908586,0.0528942565385013,0.05279344999208496,0.048844362737596014,0.057338462690704445
Rampakakis et al. 2017 Argentina,60,0.05268637386991734,0.052596234137510744,0.048595267434000625,0.057207212669926406,0.05245912725989869,0.052366388758574585,0.0484015202074588,0.05693717952735358,0.05215958861804162,0.052063646579348435,0.04813483561753966,0.05658154851463504
Rampakakis et al. 2017 Argentina,61,0.05181889566216999,0.051712769120151506,0.04772430505026946,0.056269325690324924,0.051594671726712116,0.05148545854624671,0.04752613904957259,0.056013926818214835,0.0512991343802611,0.05119067295009455,0.04726483731038687,0.05567739075013159
Rampakakis et al. 2017 Argentina,62,0.05084497872398708,0.05073694736643505,0.046770193137052427,0.055296248018829354,0.05062433060869033,0.05051798187117217,0.04657546873401589,0.05504475834823976,0.050333523229263766,0.05023363267070456,0.04631872009718235,0.05471338930686776
Rampakakis et al. 2017 Argentina,63,0.049785911843880225,0.04969036339146518,0.045735270405131284,0.05413685784270436,0.04956929718505631,0.04947816185534608,0.04554448117352969,0.05390123079300911,0.049283822448521974,0.049192195878549005,0.04529313088283922,0.053590699382294035
Rampakakis et al. 2017 Argentina,64,0.04866343898503733,0.04859495619026285,0.04465294012518301,0.05294125232986829,0.048451215572787955,0.04837837469145142,0.04446906266584487,0.05270782659478568,0.04817154447272469,0.04809237217112969,0.04422662042060998,0.052400254201113584
Rampakakis et al. 2017 Argentina,65,0.047499767009639225,0.0474536764246959,0.04356751353541062,0.05183888184735482,0.04729218830045201,0.04724400271390064,0.04338927466287144,0.051604927610297294,0.047018654266046726,0.046965606687233374,0.04315430763319378,0.051296769174977934
Rampakakis et al. 2017 Argentina,66,0.046317573521577754,0.04625242438902176,0.04241630508661492,0.050618528868755515,0.046114783995803287,0.04605839357990765,0.04224380544127738,0.05039192200880472,0.04584757680823799,0.045793571492027604,0.04201633523311819,0.05009333933404825
Rampakakis et al. 2017 Argentina,67,0.04514001482928814,0.04507122742829872,0.04121948649647888,0.04938733342977648,0.04494204518872701,0.044875067104754626,0.04105082304359494,0.049152488762422196,0.04468120468994115,0.04461658657603624,0.04082730532909434,0.04885438961747632
Rampakakis et al. 2017 Argentina,68,0.043990734030430544,0.04392824093245644,0.04008575507806146,0.04828369057545914,0.043797496231121065,0.043727465795720954,0.039914751837780434,0.04805356105958135,0.043542905818660625,0.04346794040765396,0.039689462227710214,0.04775054452055374
Rampakakis et al. 2017 Argentina,69,0.04289386922017445,0.04283785423511953,0.03896713482754018,0.047231758833122146,0.04270515133532948,0.04265351347823768,0.03880556760722867,0.04701117920148772,0.0424565312368162,0.04239870421303101,0.03859020431697195,0.04672052409562928
Rampakakis et al. 2017 Argentina,70,0.04187406182486097,0.04182163239432461,0.037951165031336345,0.0461929492473397,0.04168952273275685,0.04164066990347881,0.03779122739499887,0.04597641139476773,0.04144642305332806,0.04139752187149811,0.03758048646106219,0.04569126490251357
Rampakakis et al. 2017 Argentina,71,0.040864106169061165,0.040842421462037135,0.036882456340526344,0.045168349322194934,0.04068374341978311,0.04066128560740574,0.03673343675308583,0.04496466900423696,0.04044616038630416,0.04042805939501423,0.0365369601025708,0.044696419746124094
Rampakakis et al. 2017 Argentina,72,0.03979352468400983,0.039760962414063586,0.03583407258325812,0.0441721253900689,0.039617698946272754,0.039585560901577076,0.03568140145393399,0.04397218159088388,0.03938610698182676,0.039353602583267505,0.03548030687647667,0.04370887429806906
Rampakakis et al. 2017 Argentina,73,0.03868275825944234,0.038648169888945844,0.034694868887036906,0.04305519908303163,0.03851173025637821,0.038474129434738505,0.034555239359831603,0.04286154617314275,0.03828647205964143,0.03824459874024351,0.03436995073209007,0.04260645166277976
Rampakakis et al. 2017 Argentina,74,0.03755268668161106,0.037482369077267666,0.033572977699504694,0.0419012720096689,0.037386612627678194,0.03731678245712654,0.03343550979777556,0.04171267704036481,0.037167893198910215,0.03710536947083906,0.03325788034326196,0.04146425876155806
Rampakakis et al. 2017 Argentina,75,0.03642463611297053,0.03636075452036232,0.032450798898927956,0.04085667526133526,0.03626356299148705,0.036205352190209414,0.0323210274662846,0.04065223040718067,0.03605144345189843,0.03600104473044155,0.032149953236539464,0.04039320389028642
Rampakakis et al. 2017 Argentina,76,0.03532038668683418,0.035268772739968736,0.03134260649964018,0.03988210070780923,0.03516424736319521,0.03511118291289057,0.031217526911233143,0.03968601036993265,0.03495863856138093,0.03489984870642916,0.03105289591081415,0.03941996274867985
Rampakakis et al. 2017 Argentina,77,0.03426218021863232,0.03420659460393427,0.030262228184559592,0.03878635215621579,0.03411078838412832,0.034056477139877805,0.030141704671487315,0.03858720572468185,0.03391144428307789,0.03385681491685709,0.029982899357111955,0.03832538912204976
Rampakakis et al. 2017 Argentina,78,0.033272728035417524,0.03320135300019394,0.029277428169250063,0.03775032378353587,0.03312577297642583,0.03305709779368932,0.029161385533192575,0.03755562489782052,0.03293228381443948,0.0328646432132821,0.029008622138846855,0.03730150433630922
Rampakakis et al. 2017 Argentina,79,0.03237521892527369,0.032309736523285254,0.028381868580217875,0.03686723701616609,0.03223226011244651,0.03216415404021653,0.028269895013305832,0.03669602596709472,0.03204404533110115,0.03196703114571598,0.028122671669884077,0.03647068280982656
Rampakakis et al. 2017 Argentina,80,0.03159332720829783,0.03151515568411543,0.027597548737265783,0.03614530620423951,0.031453788700218144,0.03137223516728667,0.027489135136067246,0.03597676930205239,0.03127008963233726,0.0311868761209389,0.027346608873849598,0.03574079845572298
Rampakakis et al. 2017 Argentina,81,0.030882066432450603,0.03077187617347972,0.02688164071892631,0.035466870813302,0.030745606204231044,0.030638273331538887,0.026776458719918614,0.035294818434602394,0.030565972196886528,0.030460328279068728,0.026638187284975478,0.0350679566989315
Rampakakis et al. 2017 Argentina,82,0.03018448478181593,0.03006699146247576,0.02618029086291047,0.03478981761280371,0.03005106547884292,0.02993105767895684,0.026078400568208215,0.03461809837686168,0.029875446912051795,0.029754922594828218,0.02594432169067838,0.034392259145595766
Rampakakis et al. 2017 Argentina,83,0.02950677446450023,0.02938754034997005,0.02549967333102228,0.03420945583541906,0.029376324018629923,0.029258156093021792,0.02540080849511644,0.034031701381783006,0.029204625595801642,0.029087941093478675,0.025269590570589716,0.0337960198526512
Rampakakis et al. 2017 Argentina,84,0.02885525861694943,0.02871238209026259,0.02484185351862626,0.033537720210371345,0.02872766871087645,0.02858655756381767,0.02474222805013131,0.03336279723136294,0.028559747452925843,0.028421141761625125,0.024610993747825105,0.03313298578678778
Rampakakis et al. 2017 Argentina,85,0.028236393524441572,0.028077060131563088,0.024209331799539185,0.03295504882353455,0.028111518002982366,0.02795195131123466,0.024112643739903964,0.03278094055235919,0.027947181173850803,0.027787316590661162,0.023985269754838244,0.03255507298692145
Rampakakis et al. 2017 Argentina,86,0.02765677087549093,0.027494931077829198,0.02361587270844798,0.03240394502328958,0.027534424102150783,0.02737144555372044,0.023521941046554036,0.03224950105846309,0.0273734270636619,0.02721224980677816,0.02339820199382204,0.032039828905999275
Rampakakis et al. 2017 Argentina,87,0.027123120050611724,0.026953489960292225,0.023067493909606034,0.031885813749956075,0.027003075207759547,0.026840210889475455,0.02297610465796002,0.03172839106216167,0.02684511920168058,0.02668471458725733,0.022855718465180405,0.031531537128477394
Rampakakis et al. 2017 Argentina,88,0.026645200176756794,0.026472005212049947,0.022599746619291733,0.03145370030197062,0.0265271712410516,0.026355692623521866,0.022511958209838357,0.03130602005111925,0.026371879691163315,0.026206010492554364,0.022396264357978212,0.031111622023278777
Rampakakis et al. 2017 Argentina,89,0.026248983966019764,0.026089196826608006,0.02214817840773449,0.031108272961219804,0.0261325287583292,0.025982821993250107,0.022062592648533025,0.030946646934413184,0.025979319800377286,0.025832648141241338,0.021949801272189744,0.03074265336863443
Rampakakis et al. 2017 Argentina,90,0.025966439768542248,0.025776402780824194,0.02179718379899231,0.03085435211406221,0.025850919546861802,0.025663556161461945,0.021713221214936036,0.030685886149346694,0.025698952997762717,0.02551173248255252,0.02160797418270353,0.030473556005086354
Rampakakis et al. 2017 Argentina,91,0.02581745426901866,0.025601299376154973,0.021591390465922754,0.030725183988586906,0.025702101659393545,0.025480036894010426,0.021517065221662354,0.03055827282930283,0.025550368395863502,0.025328507656529102,0.02141906603868254,0.030338412963451904
Rampakakis et al. 2017 Argentina,92,0.025773478531742815,0.025567816218848682,0.0213988050247072,0.030760486233381602,0.025657683826094613,0.025451803061321263,0.021316679380327424,0.030587100980479887,0.02550538224749921,0.02531368256481232,0.021208483459651886,0.03035965569941063
Rampakakis et al. 2017 Argentina,93,0.025796313141444007,0.025598954282791814,0.021386307944368868,0.030948127095306574,0.0256796828284071,0.025489440589380862,0.021309371393762492,0.030780621685125256,0.025526295812771008,0.025340200417615925,0.02120796627349788,0.030560358346454264
Rampakakis et al. 2017 Argentina,94,0.025857462101996524,0.025663079417458164,0.021373031570984805,0.031042167876226368,0.025739765995559136,0.02554664384240471,0.021291015862867285,0.030863844671980802,0.025584991293376252,0.025401954941373442,0.021193604228718865,0.03063408439103456
Rampakakis et al. 2017 Argentina,95,0.025939026119650363,0.025755946665588364,0.021368227332423714,0.03129334631008301,0.025820139158223336,0.025640649918031496,0.02128617363821326,0.031111234324059142,0.02566381277679429,0.025478481059083877,0.02117805174362821,0.030872523016527025
Rampakakis et al. 2017 Argentina,96,0.026033779731134975,0.025847163730074292,0.021321701927873672,0.03151916101593756,0.025913619136674722,0.025730547088831185,0.021248760446338145,0.031337376323281256,0.02575563269903825,0.025577346471350355,0.0211525488242436,0.031120631357979687
Rampakakis et al. 2017 Argentina,97,0.02613908976275248,0.025928766000002906,0.02133047076196518,0.0317691883122294,0.026017586793768328,0.02580534409795345,0.021249178494408834,0.03159524820734096,0.025857850413535055,0.025649456559007064,0.021142076188703656,0.03136702846521584
Rampakakis et al. 2017 Argentina,98,0.02625382730540876,0.026046369786393696,0.02133932686927586,0.031968595822945985,0.026130918389921355,0.025926653916053952,0.021272459236388208,0.03179182337218336,0.02596934901100031,0.02576563542574285,0.02118436032056328,0.03155992851484665
Rampakakis et al. 2017 Argentina,99,0.026378174183072877,0.026138763756713694,0.021345577547218688,0.032215712028346964,0.02625379333611122,0.02602225809211066,0.021274423816894174,0.032035442299977894,0.02609030476086486,0.025866860606510552,0.021181131794833035,0.03179889832847259
Rampakakis et al. 2017 Costa Rica,50,0.03887618108713125,0.03879753297090893,0.03504800551512898,0.04322830889408033,0.03872349520864301,0.03864755741535113,0.0349262626690939,0.043050179934188394,0.038522113825138884,0.03844949416494178,0.0347639591144497,0.04281530680095314
Rampakakis et al. 2017 Costa Rica,51,0.038272235639364424,0.03822814731459682,0.034575584196094175,0.0425445149316967,0.03812157591420781,0.03808003170686944,0.03444783600655027,0.042365895551944206,0.03792287676074477,0.03787895490389802,0.034279270871356037,0.042130215788495004
Rampakakis et al. 2017 Costa Rica,52,0.03766605140473554,0.03761572960303767,0.0340890971903828,0.04178484118995152,0.03751744957041481,0.03746658861542665,0.03396861976037997,0.04159744429993503,0.037321474339387976,0.037271415304507435,0.03380962084865481,0.041350604195978684
Rampakakis et al. 2017 Costa Rica,53,0.03706766371755256,0.037011112181931885,0.03357528826569148,0.04102603505446766,0.03692110530714105,0.03686384306380777,0.0334562019206711,0.040852530521031424,0.03672783476013698,0.03667248679686392,0.03329904989368016,0.04062043612476917
Rampakakis et al. 2017 Costa Rica,54,0.036487313805630826,0.03643223574817439,0.03307598357517105,0.04035350030914199,0.03634273622349395,0.0362902582746084,0.03295825169206501,0.040184233807991895,0.03615208766748322,0.036102129833003815,0.032802201198391764,0.03996113195787602
Rampakakis et al. 2017 Costa Rica,55,0.035935452213557297,0.03588873527764183,0.032527995315620895,0.039732657142606015,0.035792742746972216,0.03574899244965761,0.03241091995617055,0.039564515269654814,0.035604567427113265,0.03556468387999015,0.03225740401854308,0.03933911431620873
Rampakakis et al. 2017 Costa Rica,56,0.0354227422777423,0.03537715802138154,0.0320395320175235,0.03915501597105718,0.03528173604249082,0.03523616938066909,0.031914682762790955,0.03899445095130066,0.035095816449073565,0.03505400894547096,0.03175003181920463,0.03878282923255522
Rampakakis et al. 2017 Costa Rica,57,0.03496006365400648,0.034921801399861785,0.031569390486810345,0.03864683742451721,0.03482054147196259,0.03477943615868663,0.031450968708467815,0.03848569850667719,0.034636588558950694,0.0345917607602209,0.031294747702556816,0.038273307172600086
Rampakakis et al. 2017 Costa Rica,58,0.03455851589845996,0.034499433890921125,0.031190539388450345,0.03818687764790397,0.03442020210513665,0.03435767613873915,0.031068490679568288,0.03802892935827,0.03423785241769597,0.034176030381552855,0.030907530620738713,0.03782076358313783
Rampakakis et al. 2017 Costa Rica,59,0.03422942210244014,0.03417048337314234,0.03091460994463993,0.037824350334743115,0.03409198228240201,0.03403417853648845,0.030793484477871648,0.03766302406078229,0.033910794990729506,0.03385644715957788,0.03063981840408573,0.03745436535630923
